,ID_VRSTE,ID_LOKACIJE,KONCENTRACIJA,TENDENCIJA,dan,mesec,godina,vrstaBiljke,alergenost,nadmorskaVisina,nadmorskaSirina
383,20,6,0,1,29,5,2011,0,1,19.5263889,45.6088889
384,21,6,0,0,29,5,2011,1,1,19.5263889,45.6088889
385,22,6,0,0,29,5,2011,0,0,19.5263889,45.6088889
386,23,6,1,3,29,5,2011,0,0,19.5263889,45.6088889
387,24,6,0,0,29,5,2011,0,0,19.5263889,45.6088889
388,25,6,3,3,29,5,2011,1,2,19.5263889,45.6088889
389,1,5,0,0,29,5,2011,0,0,21.333888899999998,43.58
390,2,5,0,0,29,5,2011,0,2,21.333888899999998,43.58
391,3,5,0,0,29,5,2011,1,2,21.333888899999998,43.58
392,4,5,0,0,29,5,2011,1,1,21.333888899999998,43.58
393,5,5,0,0,29,5,2011,0,2,21.333888899999998,43.58
